authority,authority_type,authority_type_zh,authority_type_en,matched_keyword,occurrence_count
中共台州市委,party_government_general,党政综合与战略协调,Party-government general,中共,3
中共浙江省委员会,party_government_general,党政综合与战略协调,Party-government general,中共,3
龙港市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,3
丽水市财政局,macro_finance,宏观规划与财政资源配置,Macro planning and finance,财政,3
嘉兴市南湖区人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,3
嘉善县人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,3
宁波市民政局,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,3
平湖市财政局,macro_finance,宏观规划与财政资源配置,Macro planning and finance,财政,3
中共杭州市委宣传部,public_science_culture,宣传文化与公众科学,Public science and culture,宣传,3
共青团杭州市委员会,party_government_general,党政综合与战略协调,Party-government general,市委,3
杭州市人力资源和社会保障局,education_talent,教育与人才培养,Education and talent,人力资源,3
杭州市妇女联合会,public_science_culture,宣传文化与公众科学,Public science and culture,妇女联合会,3
杭州市总工会,public_science_culture,宣传文化与公众科学,Public science and culture,总工会,3
杭州市文化广电旅游局,public_science_culture,宣传文化与公众科学,Public science and culture,文化,3
杭州市社会科学界联合会,other_unclear,其他或无法判定,Other or unclear,,3
永嘉县人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,3
中共浙江省委网络安全和信息化领导小组办公室,digital_industry_data,工业信息化与数据治理,"Digital, industry and data",信息化,3
磐安县人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,3
绍兴市上虞区人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,3
绍兴市越城区人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,3
舟山市财政局,macro_finance,宏观规划与财政资源配置,Macro planning and finance,财政,3
苍南县人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,3
中共昆明市委,party_government_general,党政综合与战略协调,Party-government general,中共,3
丽江市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,3
云南省人力资源和社会保障厅,education_talent,教育与人才培养,Education and talent,人力资源,3
云南省工业和信息化厅,digital_industry_data,工业信息化与数据治理,"Digital, industry and data",工业和信息化,3
云南省自然资源厅,sectoral_public_services,行业应用与公共服务,Sectoral public services,自然资源,3
大理白族自治州人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,3
喀什地区行政公署,other_unclear,其他或无法判定,Other or unclear,,3
阿勒泰地区行政公署,other_unclear,其他或无法判定,Other or unclear,,3
拉萨市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,3
天津市东丽区人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,3
