authority,authority_type,authority_type_zh,authority_type_en,matched_keyword,occurrence_count
合肥市发展和改革委员会,macro_finance,宏观规划与财政资源配置,Macro planning and finance,发展和改革,6
安徽省人力资源和社会保障厅,education_talent,教育与人才培养,Education and talent,人力资源,6
安徽省经济和信息化厅,digital_industry_data,工业信息化与数据治理,"Digital, industry and data",经济和信息化,6
淮南市教育局,education_talent,教育与人才培养,Education and talent,教育,6
中国教育学会,education_talent,教育与人才培养,Education and talent,教育,6
中共中央组织部,party_government_general,党政综合与战略协调,Party-government general,中共,6
国家互联网信息办公室,digital_industry_data,工业信息化与数据治理,"Digital, industry and data",网信,6
国家粮食局(含国家粮食储备局)(已撤销),sectoral_public_services,行业应用与公共服务,Sectoral public services,粮食,6
国家广播电视总局,public_science_culture,宣传文化与公众科学,Public science and culture,广播电视,6
应急管理部,law_regulation_security,法规司法与监管安全,"Law, regulation and security",应急,6
国家民族事务委员会,sectoral_public_services,行业应用与公共服务,Sectoral public services,民族事务,6
枣庄市人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,6
重庆高新区管理委员会,party_government_general,党政综合与战略协调,Party-government general,高新区管理委员会,5
宁波市经济和信息化局,digital_industry_data,工业信息化与数据治理,"Digital, industry and data",经济和信息化,5
宁波市经济和信息化委员会,digital_industry_data,工业信息化与数据治理,"Digital, industry and data",经济和信息化,5
杭州市发展和改革委员会,macro_finance,宏观规划与财政资源配置,Macro planning and finance,发展和改革,5
浙江省农业农村厅,sectoral_public_services,行业应用与公共服务,Sectoral public services,农业,5
云南省卫生健康委员会,sectoral_public_services,行业应用与公共服务,Sectoral public services,卫生健康,5
云南省发展和改革委员会,macro_finance,宏观规划与财政资源配置,Macro planning and finance,发展和改革,5
昆明市科学技术局,science_technology,科技创新与科研管理,Science and technology,科学技术,5
乌鲁木齐市科学技术局,science_technology,科技创新与科研管理,Science and technology,科学技术,5
天津市人大(含常委会),law_regulation_security,法规司法与监管安全,"Law, regulation and security",人大,5
天津市红桥区人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,5
四川省卫生健康委员会,sectoral_public_services,行业应用与公共服务,Sectoral public services,卫生健康,5
四川省经济和信息化厅,digital_industry_data,工业信息化与数据治理,"Digital, industry and data",经济和信息化,5
四川省自然资源厅,sectoral_public_services,行业应用与公共服务,Sectoral public services,自然资源,5
四川省人大(含常委会),law_regulation_security,法规司法与监管安全,"Law, regulation and security",人大,5
阿坝藏族羌族自治州人民政府,sectoral_public_services,行业应用与公共服务,Sectoral public services,民政,5
上海市市场监督管理局,law_regulation_security,法规司法与监管安全,"Law, regulation and security",市场监督,5
江苏省市场监督管理局,law_regulation_security,法规司法与监管安全,"Law, regulation and security",市场监督,5
