rank,city,policy_file_count,category_variety,dominant_category_code,dominant_category,dominant_category_count
200,临汾市,7,3,OD,Open data,3
201,绵阳市,7,3,OD,Open data,5
202,杨浦区,7,4,OD,Open data,3
203,顺义区,7,3,OI,Open infrastructure,5
204,海口市,6,5,OD,Open data,2
205,拉萨市,6,3,CS,Citizen science,5
206,雅安市,6,3,OERs,Open educational resources,3
207,钦州市,6,2,CS,Citizen science,6
208,揭阳市,6,4,CS,Citizen science,6
209,昌平区,6,4,OERs,Open educational resources,2
210,商洛市,6,3,OD,Open data,4
211,湖州市长兴县,6,5,OD,Open data,4
212,乌海市,6,2,OERs,Open educational resources,8
213,漯河市,6,4,OD,Open data,5
214,苏州市昆山市,6,3,OERs,Open educational resources,3
215,驻马店市,6,5,OI,Open infrastructure,6
216,密云区,6,3,OERs,Open educational resources,4
217,东莞市,6,3,CS,Citizen science,10
218,宜春市,6,5,OERs,Open educational resources,5
219,广元市,6,4,OD,Open data,5
220,黄南藏族自治州,6,4,CS,Citizen science,10
221,凉山彝族自治州,6,3,OERs,Open educational resources,7
222,秦皇岛市,6,3,OERs,Open educational resources,4
223,丰台区,6,3,CS,Citizen science,7
224,闵行区,6,4,CS,Citizen science,9
225,临沧市,6,2,OD,Open data,4
226,吉安市,6,3,CS,Citizen science,13
227,丹东市,6,3,OERs,Open educational resources,4
228,鄂州市,6,4,OD,Open data,2
229,大兴区,6,3,OI,Open infrastructure,5
230,保定市,6,2,OERs,Open educational resources,6
231,毕节市,6,3,OERs,Open educational resources,4
232,南充市,6,3,CS,Citizen science,9
233,乌兰察布市,5,3,OERs,Open educational resources,3
234,静安区,5,4,CS,Citizen science,6
235,河源市,5,2,CS,Citizen science,10
236,鸡西市,5,4,OD,Open data,4
237,汉中市,5,5,CS,Citizen science,6
238,黄冈市,5,3,OI,Open infrastructure,3
239,铁岭市,5,3,OERs,Open educational resources,3
240,七台河市,5,3,OERs,Open educational resources,3
241,娄底市,5,3,CS,Citizen science,15
242,延安市,5,3,OI,Open infrastructure,3
243,崇左市龙州县,5,3,OD,Open data,2
244,承德市,5,4,OI,Open infrastructure,3
245,东城区,5,4,OERs,Open educational resources,6
246,宝山区,5,2,OERs,Open educational resources,4
247,丽水市龙泉市,5,3,OSS,Open-source software,3
248,周口市,5,3,OD,Open data,3
249,海淀区,5,4,CS,Citizen science,4
250,深圳市宝安区,5,5,OD,Open data,4
251,深圳市龙华区,5,4,OSS,Open-source software,5
252,阜新市,5,2,OERs,Open educational resources,6
253,铜仁市,5,5,CS,Citizen science,2
254,朔州市,5,4,CS,Citizen science,9
255,日照市,5,3,OD,Open data,5
256,绥化市,5,5,OERs,Open educational resources,3
257,柳州市三江侗族自治县,5,3,OERs,Open educational resources,5
258,红桥区,5,4,OERs,Open educational resources,3
259,白城市,5,4,CS,Citizen science,14
260,柳州市,5,4,OERs,Open educational resources,3
261,通州区,5,5,OERs,Open educational resources,6
262,温州市平阳县,5,3,OERs,Open educational resources,2
263,阿坝藏族羌族自治州,5,3,OI,Open infrastructure,4
264,温州市苍南县,5,2,OERs,Open educational resources,6
265,铜陵市,5,4,CS,Citizen science,3
266,温州市洞头区,5,4,OI,Open infrastructure,5
267,湘潭市,5,3,CS,Citizen science,6
268,嘉兴市海宁市,4,2,OI,Open infrastructure,3
269,嘉兴市平湖市,4,2,OI,Open infrastructure,3
