category_code,category_name,central_entry_count,central_entry_share,provincial_entry_count,provincial_entry_share,prefecture_entry_count,prefecture_entry_share
OA,Open access,66,0.020134228187919462,115,0.011847120634593592,106,0.012089416058394161
OD,Open data,573,0.17480170835875533,1564,0.16112084063047286,1788,0.20392335766423358
OSS,Open-source software,130,0.03965832824893228,447,0.04604924281446379,408,0.046532846715328466
OERs,Open educational resources,1042,0.31787675411836486,3737,0.38497991140414134,2266,0.2584397810218978
CS,Citizen science,803,0.24496644295302014,750,0.07726383022561038,1618,0.18453467153284672
OPR,Open peer review,74,0.022574740695546065,171,0.017616153291439167,126,0.01437043795620438
OI,Open infrastructure,589,0.17968273337400853,2901,0.29885649531266095,2421,0.27611770072992703
ORM,Open research methods,1,0.0003050640634533252,22,0.0022664056866179044,35,0.0039917883211678835
