category_code,category_name,policy_file_count,policy_file_share,entry_count,entry_share
OA,Open access,247,0.02369304556354916,287,0.013193582494368594
OD,Open data,2608,0.25016786570743405,3925,0.18043488254493634
OSS,Open-source software,599,0.057458033573141484,985,0.0452811106514044
OERs,Open educational resources,3794,0.3639328537170264,7045,0.3238633751666437
CS,Citizen science,1062,0.1018705035971223,3171,0.14577299682802372
OPR,Open peer review,314,0.030119904076738608,371,0.01705511883418379
OI,Open infrastructure,3611,0.346378896882494,5911,0.2717326345791385
ORM,Open research methods,51,0.004892086330935252,58,0.00266629890130097
